113,"2020-05-19",232470.36,"",10,"2020-05-19 19:06:15","2020-05-19 19:06:15",1
114,"2020-05-19",2392.00,"",26,"2020-05-19 19:06:49","2020-05-19 19:06:49",1
115,"2020-05-19",5521.86,"",37,"2020-05-19 19:07:25","2020-05-19 19:07:25",1
116,"2020-05-19",4084.80,"",58,"2020-05-19 19:07:47","2020-05-19 19:07:47",1
117,"2020-05-21",72201.40,"",15,"2020-05-21 18:31:33","2020-05-21 18:31:33",1
118,"2020-05-22",269063.22,"",10,"2020-05-22 06:28:15","2020-05-22 06:28:15",1
119,"2020-05-26",1429.20,"",45,"2020-05-26 10:55:25","2020-05-26 10:55:25",1
120,"2020-05-26",2134.02,"",45,"2020-05-26 10:55:42","2020-05-26 10:55:42",1
121,"2020-05-26",11179.68,"",45,"2020-05-26 10:55:56","2020-05-26 10:55:56",1
122,"2020-05-25",4183.34,"",2,"2020-05-26 10:57:24","2020-05-26 10:57:24",1
123,"2020-05-20",2227.68,"",56,"2020-05-26 10:59:33","2020-05-26 10:59:33",1
124,"2020-05-26",1175.40,"",57,"2020-05-26 10:59:56","2020-05-26 10:59:56",1
125,"2020-05-28",1982.40,"",7,"2020-05-28 14:55:31","2020-05-28 14:55:31",1
126,"2020-05-28",1318.30,"",7,"2020-05-28 14:55:39","2020-05-28 14:55:39",1
127,"2020-06-01",6402.00,"",70,"2020-06-01 10:31:47","2020-06-01 10:31:47",1
128,"2020-06-01",100000.00,"",5,"2020-06-01 10:33:50","2020-06-01 10:33:50",1
129,"2020-06-01",50186.58,"",7,"2020-06-01 10:34:42","2020-06-01 10:34:42",1
130,"2020-06-01",5108.94,"",7,"2020-06-01 10:34:57","2020-06-01 10:34:57",1
131,"2020-06-01",2701.02,"",7,"2020-06-01 10:35:13","2020-06-01 10:35:13",1
132,"2020-06-01",3252.00,"",64,"2020-06-01 10:36:07","2020-06-01 10:36:07",1
133,"2020-06-01",38556.13,"",47,"2020-06-01 10:36:37","2020-06-01 10:36:37",1
134,"2020-06-03",1735.20,"",36,"2020-06-03 18:26:10","2020-06-03 18:26:10",1
135,"2020-06-03",4486.80,"",69,"2020-06-03 18:26:21","2020-06-03 18:26:21",1
136,"2020-06-03",4567.61,"",66,"2020-06-03 18:26:41","2020-06-03 18:26:41",1
137,"2020-06-03",42635.90,"",15,"2020-06-03 18:28:05","2020-06-03 18:28:05",1
138,"2020-06-03",35416.85,"",15,"2020-06-03 18:28:14","2020-06-03 18:28:14",1
139,"2020-06-04",13974.00,"",74,"2020-06-04 11:43:49","2020-06-04 11:43:49",1
140,"2020-06-05",220424.00,"",73,"2020-06-05 09:44:27","2020-06-05 09:44:27",1
141,"2020-06-05",10684.80,"",68,"2020-06-05 09:44:51","2020-06-05 09:44:51",1
142,"2020-06-05",13806.02,"",62,"2020-06-05 09:45:28","2020-06-05 09:45:28",1
143,"2020-06-08",9756.00,"",64,"2020-06-08 10:50:58","2020-06-08 10:50:58",1
144,"2020-06-08",11383.44,"",7,"2020-06-08 10:51:49","2020-06-08 10:51:49",1
145,"2020-06-08",2152.32,"",7,"2020-06-08 10:51:58","2020-06-08 10:51:58",1
