111,"Staklo flot 4mm KP sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 341x454mm 10 komada.","m2",1.6000000000,1954.0900000000,3126.5500000000,20.00,625.31,3751.86,40,"2020-01-31 08:48:37","2020-01-31 08:48:37",1
112,"Reparacija termoizolacionog stakla Flot 4mm+16+Flot 4mm.","m2",1.5200000000,3791.6800000000,5763.3500000000,20.00,1152.67,6916.02,42,"2020-01-31 10:12:09","2020-01-31 10:12:09",1
113,"Staklo flot 3mm.","m2",0.8400000000,991.6700000000,833.0000000000,20.00,166.60,999.60,43,"2020-01-31 18:03:16","2020-01-31 18:03:16",1
114,"Uramljivanje u ram serije 03.","m",1.6400000000,491.6800000000,806.3500000000,20.00,161.27,967.62,43,"2020-01-31 18:03:16","2020-01-31 18:03:16",1
115,"Uramljivanje u ram serije 09.","m",1.8000000000,491.6700000000,885.0100000000,20.00,177.00,1062.01,43,"2020-01-31 18:03:16","2020-01-31 18:03:16",1
116,"Staklo flot 6mm, KP, Kaljeno.","m2",36.0900000000,5300.0000000000,191277.0000000000,20.00,38255.40,229532.40,44,"2020-02-03 16:45:27","2020-02-03 16:45:27",1
117,"Izrada Blind ramova.","m",33.3300000000,150.0000000000,4999.5000000000,20.00,999.90,5999.40,45,"2020-02-03 16:54:30","2020-02-03 16:54:30",1
118,"Usluga mašinskog isecanja PVC folije na staklu.","kom",160.0000000000,150.0000000000,24000.0000000000,20.00,4800.00,28800.00,46,"2020-02-03 17:14:42","2020-02-03 17:14:42",1
119,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","m2",18.6600000000,2124.0000000000,39633.8400000000,20.00,7926.77,47560.61,47,"2020-02-03 17:27:57","2020-02-03 17:27:57",1
120,"Termoizolaciono staklo Elow 4mm+L+Delta 4mm.","m2",0.8800000000,2478.0000000000,2180.6400000000,20.00,436.13,2616.77,47,"2020-02-03 17:27:57","2020-02-03 17:27:57",1
121,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","m2",1.4900000000,2478.0000000000,3692.2200000000,20.00,738.44,4430.66,47,"2020-02-03 17:27:57","2020-02-03 17:27:57",1
122,"Zlatne ukrasne lajsne za termoizolaciono staklo.","m",8.8500000000,590.0000000000,5221.5000000000,20.00,1044.30,6265.80,47,"2020-02-03 17:27:57","2020-02-03 17:27:57",1
123,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",3.5600000000,1888.0100000000,6721.3000000000,20.00,1344.26,8065.56,48,"2020-02-03 17:34:30","2020-02-03 17:34:30",1
124,"Reparacija Termoizolcionog stakla Stopsol bronza 4mm+16+Flot 4mm.","m2",0.7000000000,6598.6700000000,4619.0700000000,20.00,923.81,5542.88,49,"2020-02-04 13:09:21","2020-02-04 13:09:21",1
125,"Pampleks staklo 3.3.1mm","m2",0.3900000000,3833.0000000000,1494.8700000000,20.00,298.97,1793.84,50,"2020-02-05 07:41:58","2020-02-05 07:41:58",1
126,"Usluga bušenja rupa na staklu prečnika 16mm.","kom",1.0000000000,150.0000000000,150.0000000000,20.00,30.00,180.00,50,"2020-02-05 07:41:58","2020-02-05 07:41:58",1
127,"Ogledalo 4mm KP, dimenzije 1500x223mm 500 komada.","m2",167.2500000000,1411.0600000000,235999.7900000000,20.00,47199.96,283199.75,51,"2020-02-05 11:16:57","2020-02-05 11:16:57",1
128,"Ogledalo 3mm, fazeta do 10mm, dimenzije 1300x715mm 1 komad.","m2",0.9500000000,1298.0000000000,1233.1000000000,20.00,246.62,1479.72,52,"2020-02-05 11:22:25","2020-02-05 11:22:25",1
129,"Staklo flot 4mm, dimenzije 708x390mm 1 komad, 2xfi 7mm.","m2",0.3000000000,1054.2700000000,316.2800000000,20.00,63.26,379.54,52,"2020-02-05 11:22:25","2020-02-05 11:22:25",1
130,"Uramljivanje u ram serije 06.","m",1.1800000000,491.6500000000,580.1500000000,20.00,116.03,696.18,53,"2020-02-05 12:32:21","2020-02-05 12:32:21",1
131,"Uramljivanje u ram serije 09.","m",1.1800000000,491.6500000000,580.1500000000,20.00,116.03,696.18,53,"2020-02-05 12:32:21","2020-02-05 12:32:21",1
132,"Staklo 2mm ugrađeno u ramove.","m2",0.2000000000,1100.0000000000,220.0000000000,20.00,44.00,264.00,53,"2020-02-05 12:32:21","2020-02-05 12:32:21",1
137,"Ogledalo 4mm KP, dimenzije 1500x445mm 100 komada.","m2",66.7500000000,1396.5500000000,93219.7000000000,20.00,18643.94,111863.64,57,"2020-02-06 13:00:21","2020-02-06 13:00:21",1
138,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 100 komada.","m2",27.0000000000,1311.1100000000,35399.9500000000,20.00,7079.99,42479.94,57,"2020-02-06 13:00:21","2020-02-06 13:00:21",1
139,"Parsol bronza 5mm KP, dimenzije 695x500mm 100 komada.","m2",38.0000000000,2029.6000000000,77124.8000000000,20.00,15424.96,92549.76,57,"2020-02-06 13:00:21","2020-02-06 13:00:21",1
140,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","m2",1.5700000000,2065.0000000000,3242.0500000000,20.00,648.41,3890.46,58,"2020-02-11 08:28:15","2020-02-11 08:28:15",1
141,"Termoizolaciono staklo Delta 4mm+L+Flot 4mm.","m2",1.8000000000,2242.0000000000,4035.6000000000,20.00,807.12,4842.72,58,"2020-02-11 08:28:15","2020-02-11 08:28:15",1
