334,"Ogledalo 4mm KP.","M2",0.4300000000,2900.0000000000,1247.00,20.00,249.40,1496.40,139
335,"Termoizolaciono staklo Flot 4mm+16+Elow 4mm.","M2",2.9000000000,2124.0000000000,6159.60,20.00,1231.92,7391.52,140
336,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","M2",1.6100000000,2124.0000000000,3419.64,20.00,683.93,4103.57,141
337,"Troslojno termoizolaciono staklo Solar 4mm+L+Flot 4mm+L+Flot 4mm.","M2",0.5800000000,3894.0000000000,2258.52,20.00,451.70,2710.22,141
338,"Termoizolaciono staklo Solar 4mm+16+Flot 4mm","M2",6.1000000000,2478.0000000000,15115.80,20.00,3023.16,18138.96,141
339,"Termoizolaciono staklo Delta 4mm+L+Flot 4mm.","M2",0.4300000000,2242.0000000000,964.06,20.00,192.81,1156.87,141
340,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","M2",2.8500000000,2124.0000000000,6053.40,20.00,1210.68,7264.08,141
341,"Zlatne ukrasne lajsne za termoizolaciono staklo.","M",6.2800000000,590.0000000000,3705.20,20.00,741.04,4446.24,141
342,"Termoizolaciono staklo Solar 4mm+16+Flot 4mm","M2",4.4000000000,2478.0000000000,10903.20,20.00,2180.64,13083.84,142
343,"Termoizolaciono staklo Delta 4mm+L+Elow 4mm.","M2",0.6000000000,2478.0000000000,1486.80,20.00,297.36,1784.16,142
344,"Ogledalo 3mm KP.","M2",1.0400000000,1180.0000000000,1227.20,20.00,245.44,1472.64,143
345,"Ogledalo 4mm, fazeta 15mm.","M2",1.0100000000,1628.4000000000,1644.68,20.00,328.94,1973.62,143
346,"Ogledalo 4mm, fazeta 20mm.","M2",0.3100000000,1699.1900000000,526.75,20.00,105.35,632.10,143
347,"Satinirano staklo 4mm.","M2",5.5700000000,1652.0000000000,9201.64,20.00,1840.33,11041.97,143
348,"Usluga bušenja rupa na staklu prečnika 7mm.","PCS",6.0000000000,29.5000000000,177.00,20.00,35.40,212.40,143
349,"Staklo flot 6mm KP.","M2",0.4700000000,1416.0000000000,665.52,20.00,133.10,798.62,143
350,"Ogledalo 3mm KP.","M2",4.5700000000,1180.0000000000,5392.60,20.00,1078.52,6471.12,143
351,"Satinirano staklo 4mm.","M2",0.6000000000,1652.0000000000,991.20,20.00,198.24,1189.44,144
352,"Ogledalo 3mm KP.","M2",1.0400000000,1180.0000000000,1227.20,20.00,245.44,1472.64,144
353,"Satinirano staklo 4mm.","M2",0.6100000000,1652.0000000000,1007.72,20.00,201.54,1209.26,144
354,"Usluga bušenja rupa na staklu prečnika 7mm.","PCS",9.0000000000,29.5000000000,265.50,20.00,53.10,318.60,144
355,"Uramljivanje u ram serije 09.","M",12.9800000000,350.0000000000,4543.00,20.00,908.60,5451.60,145
356,"Staklo 2mm ugrađeno u ramove.","M2",1.1000000000,770.0000000000,847.00,20.00,169.40,1016.40,145
357,"Staklo flot 4mm.","M2",11.1500000000,850.7800000000,9486.20,20.00,1897.24,11383.44,146
